Q,I_obs,err,I_fit,I_fit_over_I_obs
8.640000000000000457e-02,3.093686018618461986e-02,4.380000000000000213e-03,3.959484839634124648e-02,1.279859952110557142e+00
8.719999999999999973e-02,3.828686018618461528e-02,4.470000000000000015e-03,3.923196715886525382e-02,1.024684891058830427e+00
8.799999999999999489e-02,3.742686018618461563e-02,4.689999999999999725e-03,3.887239995157126815e-02,1.038623057296167440e+00
8.880000000000000393e-02,2.944686018618461465e-02,4.910000000000000302e-03,3.851941043220451916e-02,1.308099070279703735e+00
8.959999999999999909e-02,3.947686018618461190e-02,5.069999999999999854e-03,3.818067254212579448e-02,9.671658881191257384e-01
9.039999999999999425e-02,2.917686018618462218e-02,5.100000000000000366e-03,3.784494569534399555e-02,1.297087673376991823e+00
9.120000000000000329e-02,3.489686018618461116e-02,5.360000000000000181e-03,3.751217683278857545e-02,1.074944182159956796e+00
9.199999999999999845e-02,3.898686018618462146e-02,5.320000000000000076e-03,3.718231428561876578e-02,9.537139976918347362e-01
9.279999999999999361e-02,2.543686018618461497e-02,5.760000000000000363e-03,3.686260197016127949e-02,1.449180508142363655e+00
9.360000000000000264e-02,3.243686018618462119e-02,5.610000000000000403e-03,3.655094634237329720e-02,1.126833674177284639e+00
9.439999999999999780e-02,3.405686018618461763e-02,6.020000000000000177e-03,3.624194313506400034e-02,1.064159847294606998e+00
9.518999999999999684e-02,3.191686018618461462e-02,5.989999999999999665e-03,3.593936161075046709e-02,1.126030612068382952e+00
9.599000000000000588e-02,3.028686018618462206e-02,6.250000000000000347e-03,3.563549828087207022e-02,1.176599292954349618e+00
9.679000000000000103e-02,3.670686018618461721e-02,6.349999999999999742e-03,3.534298808506532164e-02,9.628442178328121548e-01
